Team 1,Team 2,Odds 1,Odds 2,Source,Game,Time
EG,MAD,2.29,1.6,Sportsbet,EG vs MAD,2022-10-04 07:56:24.456194+11:00
DK,G2,2.57,51.0,Sportsbet,DK vs G2,2022-10-04 07:56:24.456194+11:00
100,CFO,2.74,1.49,Sportsbet,100 vs CFO,2022-10-04 07:56:24.456194+11:00
EDG,T1,1.83,1.44,Sportsbet,EDG vs T1,2022-10-04 07:56:24.456194+11:00
DRX,RGE,2.57,1.94,Sportsbet,DRX vs RGE,2022-10-04 07:56:24.456194+11:00
C9,EDG,1.17,1.49,Sportsbet,C9 vs EDG,2022-10-04 07:56:24.456194+11:00
GAM,TES,1.08,4.9,Sportsbet,GAM vs TES,2022-10-04 07:56:24.456194+11:00
DK,JDG,7.5,2.74,Sportsbet,DK vs JDG,2022-10-04 07:56:24.456194+11:00
GAM,RGE,1.44,2.74,Sportsbet,GAM vs RGE,2022-10-04 07:56:24.456194+11:00
100,GEN,1.44,8.5,Sportsbet,100 vs GEN,2022-10-04 07:56:24.456194+11:00
C9,T1,1.06,5.5,Sportsbet,C9 vs T1,2022-10-04 07:56:24.456194+11:00
DRX,TES,1.14,2.93,Sportsbet,DRX vs TES,2022-10-04 07:56:24.456194+11:00
G2,JDG,1.25,1.39,Sportsbet,G2 vs JDG,2022-10-04 07:56:24.456194+11:00
RGE,TES,3.85,4.05,Sportsbet,RGE vs TES,2022-10-04 07:56:24.456194+11:00
CFO,GEN,1.02,1.23,Sportsbet,CFO vs GEN,2022-10-04 07:56:24.456194+11:00
DRX,GAM,4.4,13.0,Sportsbet,DRX vs GAM,2022-10-04 07:56:24.456194+11:00
C9,EDG,1.2,4.9,Sportsbet,C9 vs EDG,2022-10-04 07:56:24.456194+11:00
DK,JDG,1.44,1.17,Sportsbet,DK vs JDG,2022-10-04 07:56:24.456194+11:00
100,GEN,1.06,2.74,Sportsbet,100 vs GEN,2022-10-04 07:56:24.456194+11:00
