Team 1,Team 2,Odds 1,Odds 2,Source,Game,Time
DK,G2,1.4,2.8,Unibet,DK vs G2,2022-10-04 09:05:02.982582+11:00
100,CFO,1.48,2.5,Unibet,100 vs CFO,2022-10-04 09:05:02.982582+11:00
EDG,T1,1.95,1.8,Unibet,EDG vs T1,2022-10-04 09:05:02.982582+11:00
C9,EDG,4.2,1.2,Unibet,C9 vs EDG,2022-10-04 09:05:02.982582+11:00
GAM,TES,6.2,1.1,Unibet,GAM vs TES,2022-10-04 09:05:02.982582+11:00
DK,JDG,2.55,1.47,Unibet,DK vs JDG,2022-10-04 09:05:02.982582+11:00
GAM,RGE,2.8,1.4,Unibet,GAM vs RGE,2022-10-04 09:05:02.982582+11:00
100,GEN,6.5,1.09,Unibet,100 vs GEN,2022-10-04 09:05:02.982582+11:00
C9,T1,4.5,1.18,Unibet,C9 vs T1,2022-10-04 09:05:02.982582+11:00
G2,JDG,3.5,1.27,Unibet,G2 vs JDG,2022-10-04 09:05:02.982582+11:00
RGE,TES,3.5,1.27,Unibet,RGE vs TES,2022-10-04 09:05:02.982582+11:00
CFO,GEN,10.0,1.03,Unibet,CFO vs GEN,2022-10-04 09:05:02.982582+11:00
